x,y,z
1123222.63953,1777757.46868,3837.92088587
1123224.85095,1777760.47233,3837.94241699
1123222.61949,1777761.99722,3837.98708437
1123227.50482,1777761.87948,3837.93007857
1123225.91559,1777763.20829,3837.96852978
1123224.83531,1777756.08971,3837.8755039
1123225.91559,1777758.65561,3837.90318508
1123232.51571,1777900.70291,3838.085473
1123231.39841,1777904.20888,3838.09065929
1123230.69848,1777899.77259,3838.13388041
1123232.20651,1777895.31942,3838.12504687
1123234.34069,1777896.109,3838.06803177
1123234.65758,1777899.12398,3838.0407475
1123233.25939,1777903.43992,3838.04930875
1123246.89483,1777787.64451,3837.80093197
1123244.81553,1777788.46866,3837.8698626
1123245.46086,1777783.03519,3837.80321322
1123248.16972,1777792.93686,3837.80149628
1123246.37768,1777792.80496,3837.85715364
1123247.1829,1777783.93756,3837.7580775
1123248.63955,1777787.71512,3837.74351317
1123240.7424,1777904.90365,3837.81040623
1123239.38005,1777908.66338,3837.82793501
1123239.04229,1777905.02566,3837.86853286
1123240.28532,1777899.62861,3837.86848752
1123242.05759,1777900.38537,3837.79950325
1123241.01407,1777907.62756,3837.7775294
1123242.76584,1777904.20888,3837.73964759
1123252.13276,1777784.83248,3837.57820766
1123251.91121,1777788.39205,3837.62459568
1123250.54029,1777784.83,3837.64529115
1123252.6876,1777788.39205,3837.59077333
1123253.17479,1777792.00894,3837.60207363
1123251.61495,1777792.01146,3837.6686429
1123250.70305,1777788.39205,3837.67361018
1123253.77298,1777788.39205,3837.53996542
1123249.78718,1777909.12696,3837.33029421
1123248.8279,1777913.81809,3837.33334698
1123248.50991,1777909.6522,3837.40460964
1123249.78513,1777904.09147,3837.39362701
1123250.77479,1777904.29454,3837.32592698
1123250.89676,1777908.71411,3837.2578171
1123249.84985,1777913.7087,3837.26541255
1123253.07382,1777904.99605,3837.13496889
1123253.09466,1777900.5674,3837.20207671
1123254.11703,1777899.76897,3837.1230866
1123252.55882,1777908.66338,3837.1230515
1123251.98589,1777908.09799,3837.18136243
1123252.58775,1777904.20888,3837.1898689
1123254.02125,1777904.22324,3837.05599852
1123253.02785,1777909.37288,3837.06704247
1123256.18148,1777778.89417,3837.26590577
1123255.1736,1777778.80905,3837.33423588
1123254.79865,1777774.16986,3837.27046479
1123257.49997,1777783.66661,3837.25173918
1123256.25636,1777783.20099,3837.33460129
1123256.01499,1777774.52462,3837.18374834
1123257.23351,1777779.34602,3837.19029249
1123257.07641,1777775.62108,3837.11325686
1123258.20841,1777780.05486,3837.11281976
1123224.48365,1777747.97019,3837.7310679
1123222.67048,1777749.4253,3837.78098691
1123221.55257,1777746.58037,3837.73488163
1123227.43819,1777749.23363,3837.71629785
1123225.91559,1777750.35137,3837.76047903
1123224.72275,1777751.92005,3837.80503672
1123222.76578,1777745.52313,3837.69926783
1123224.20951,1777744.39901,3837.65586783
1123225.91559,1777746.60404,3837.68305427
1123222.82277,1777736.31914,3837.4519464
1123221.30562,1777734.01656,3837.39304149
1123224.295,1777735.12415,3837.38721794
1123225.99401,1777743.0751,3837.59866803
1123223.97943,1777741.18614,3837.57919722
1123228.74665,1777744.40189,3837.58543283
1123227.10964,1777745.73509,3837.64542913
1123225.61178,1777740.08194,3837.52421343
1123227.86911,1777741.92026,3837.53679532
1123224.38597,1777727.66709,3836.99153973
1123222.82519,1777727.72157,3837.04888252
1123220.93936,1777726.27092,3836.98658759
1123222.6037,1777726.20048,3836.92042509
1123261.34316,1777797.98075,3837.11309525
1123261.19912,1777801.75553,3837.173394
1123260.53446,1777797.30731,3837.18983468
1123261.67134,1777801.75553,3837.1230515
1123262.0762,1777805.99241,3837.11873043
1123261.28842,1777805.54597,3837.1983924
1123262.20347,1777801.71803,3837.05674426
1123262.6597,1777801.75553,3836.98941669
1123262.17019,1777797.12792,3836.98732039
1123262.91825,1777805.51762,3836.99943421
1123262.90329,1777801.10776,3836.93286993
1123060.53301,1777908.68123,3837.05738115
1123062.48843,1777904.90275,3837.03044314
1123062.08383,1777900.44444,3836.98159693
1123063.70075,1777902.63794,3837.01298078
1123065.23464,1777905.13343,3837.04579785
1123063.57668,1777908.04418,3837.06929154
1123205.44187,1777776.86724,3838.23136735
1123203.86496,1777779.51131,3838.25630284
1123203.88435,1777774.19427,3838.2017846
1123207.01395,1777774.10534,3838.20269384
1123207.01747,1777779.50632,3838.25715692
1123208.58283,1777788.23157,3838.33035037
1123208.61305,1777793.27551,3838.36724878
1123207.01677,1777790.99203,3838.35358242
1123205.4405,1777788.16067,3838.33289915
1123210.55036,1777792.05604,3838.35390493
